response_time_min,converted,platform_email,platform_instagram,platform_website,platform_whatsapp,contact_reason_complaint,contact_reason_customization_request,contact_reason_order_status,contact_reason_other,contact_reason_price_question,contact_reason_product_question,contact_reason_return_or_exchange,contact_reason_shipping_question,contact_reason_stock_availability,contact_reason_warranty_or_issue,customer_type_first_time_customer,customer_type_lead,customer_type_returning_customer,customer_type_vip_customer
13,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
13,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
124,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
39,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
422,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
37,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
26,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
5,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
14,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
13,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
45,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
9,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
30,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
607,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
13,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
708,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
447,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
105,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
63,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
