contact_id,customer_id,contact_datetime,first_response_datetime,response_time_min,converted,contact_source_type,customer_type,product_id,product_category,product_subcategory,product_collection,is_payday_period,is_peak_season
B_C0001,B_U0290,2025-01-05 08:16:00,2025-01-05 20:50:00,754,0,product_page,lead,P0008,retro_consoles,caseover_projector,unknown,0,0
B_C0002,B_U0046,2025-08-25 10:21:00,2025-08-27 13:35:00,3074,0,general_contact,vip,unknown,unknown,unknown,unknown,1,0
B_C0003,B_U0015,2025-07-25 17:41:00,2025-07-28 19:00:00,4399,1,product_page,lead,P0026,other_accessories,airpods_cases,unknown,1,0
B_C0004,B_U0003,2025-12-08 21:20:00,2025-12-09 00:01:00,161,0,general_contact,one_time,P0007,retro_consoles,caseover_projector,unknown,0,1
B_C0005,B_U0011,2025-12-18 17:28:00,2025-12-19 02:56:00,568,1,product_page,lead,P0030,other_accessories,protection_accessories,unknown,0,1
B_C0006,B_U0228,2025-12-13 18:54:00,2025-12-13 21:19:00,145,0,general_contact,lead,unknown,unknown,unknown,unknown,0,1
B_C0007,B_U0110,2025-09-03 20:51:00,2025-09-06 16:35:00,4064,0,product_page,lead,P0005,retro_consoles,caseover_projector,unknown,0,1
B_C0008,B_U0265,2025-03-25 20:44:00,2025-03-26 04:47:00,483,1,product_page,two_times,P0011,car_accessories,unknown,unknown,1,0
B_C0009,B_U0291,2025-01-26 12:55:00,2025-01-27 00:58:00,723,0,product_page,two_times,P0032,other_accessories,protection_accessories,unknown,1,0
B_C0010,B_U0230,2025-12-23 17:04:00,2025-12-23 21:37:00,273,0,product_page,lead,P0032,other_accessories,protection_accessories,unknown,0,1
B_C0011,B_U0007,2025-11-28 12:30:00,2025-11-28 13:00:00,30,0,general_contact,vip,P0037,other_accessories,phone_cases,all_phone_cases,1,1
B_C0012,B_U0014,2025-07-27 09:27:00,2025-07-28 14:51:00,1764,1,general_contact,two_times,P0035,other_accessories,chargers_and_others,unknown,1,0
B_C0013,B_U0285,2025-06-20 10:52:00,2025-06-20 13:43:00,171,0,product_page,lead,P0003,retro_consoles,caseover_console,unknown,0,0
B_C0014,B_U0217,2025-09-04 22:43:00,2025-09-04 23:31:00,48,1,product_page,one_time,P0026,other_accessories,airpods_cases,unknown,0,1
B_C0015,B_U0209,2025-09-03 20:05:00,2025-09-05 11:43:00,2378,1,general_contact,two_times,unknown,unknown,unknown,unknown,0,1
B_C0016,B_U0263,2025-09-11 11:04:00,2025-09-12 20:19:00,1995,1,product_page,lead,P0020,kits_and_bundles,unknown,unknown,0,1
B_C0017,B_U0354,2025-06-02 13:43:00,2025-06-03 00:41:00,658,0,product_page,lead,P0021,earphones,unknown,unknown,1,0
B_C0018,B_U0317,2025-11-17 21:06:00,2025-11-18 12:54:00,948,0,product_page,lead,P0011,car_accessories,unknown,unknown,0,1
B_C0019,B_U0184,2025-09-11 15:14:00,2025-09-12 01:49:00,635,0,product_page,lead,P0018,kits_and_bundles,unknown,unknown,0,1
