contact_id,customer_id,contact_datetime,first_response_datetime,response_time_min,converted,contact_source_type,customer_type,product_id,product_category,product_subcategory,product_collection,is_payday_period,is_peak_season
A_C0001,A_U0266,2025-11-18 20:20:00,2025-11-19 07:14:00,654,1,general_contact,two_times,unknown,unknown,unknown,unknown,0,1
A_C0002,A_U0148,2025-12-22 21:15:00,2025-12-22 23:24:00,129,1,product_page,lead,P0008,retro_consoles,caseover_projector,unknown,0,1
A_C0003,A_U0207,2025-02-01 08:35:00,2025-02-01 20:57:00,742,0,product_page,two_times,P0018,kits_and_bundles,unknown,unknown,1,0
A_C0004,A_U0282,2025-12-09 15:19:00,2025-12-09 16:14:00,55,0,general_contact,vip,P0011,car_accessories,unknown,unknown,0,1
A_C0005,A_U0298,2025-08-04 17:38:00,2025-08-04 18:00:00,22,1,product_page,lead,P0014,cameras_and_accessories,unknown,unknown,0,0
A_C0006,A_U0249,2025-06-03 18:31:00,2025-06-03 19:25:00,54,0,product_page,two_times,P0017,kits_and_bundles,unknown,unknown,0,0
A_C0007,A_U0168,2025-08-28 08:17:00,2025-08-28 12:01:00,224,1,general_contact,lead,P0039,other_accessories,phone_cases,all_phone_cases,1,0
A_C0008,A_U0026,2025-11-06 15:35:00,2025-11-06 15:55:00,20,0,product_page,lead,P0049,other_accessories,phone_cases,cars,0,1
A_C0009,A_U0290,2025-08-23 20:39:00,2025-08-24 14:49:00,1090,1,general_contact,lead,P0008,retro_consoles,caseover_projector,unknown,0,0
A_C0010,A_U0200,2025-01-24 10:42:00,2025-01-24 12:32:00,110,0,product_page,lead,P0020,kits_and_bundles,unknown,unknown,0,0
A_C0011,A_U0023,2025-07-15 14:59:00,2025-07-15 15:24:00,25,1,product_page,lead,P0016,cameras_and_accessories,unknown,unknown,0,0
A_C0012,A_U0221,2025-08-09 18:36:00,2025-08-10 16:15:00,1299,1,product_page,lead,P0042,other_accessories,phone_cases,football,0,0
A_C0013,A_U0069,2025-10-15 20:16:00,2025-10-16 01:14:00,298,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0
A_C0014,A_U0348,2025-11-23 20:25:00,2025-11-23 21:35:00,70,1,general_contact,two_times,unknown,unknown,unknown,unknown,0,1
A_C0015,A_U0229,2025-08-19 16:17:00,2025-08-19 16:27:00,10,0,product_page,vip,P0019,kits_and_bundles,unknown,unknown,0,0
A_C0016,A_U0356,2025-11-01 20:51:00,2025-11-01 23:08:00,137,1,product_page,vip,P0007,retro_consoles,caseover_projector,unknown,1,1
A_C0017,A_U0054,2025-10-12 16:04:00,2025-10-13 02:59:00,655,1,general_contact,vip,P0008,retro_consoles,caseover_projector,unknown,0,0
A_C0018,A_U0204,2025-07-17 11:50:00,2025-07-17 13:09:00,79,1,product_page,two_times,P0003,retro_consoles,caseover_console,unknown,0,0
A_C0019,A_U0242,2025-03-18 13:46:00,2025-03-18 23:00:00,554,0,product_page,one_time,P0033,other_accessories,chargers_and_others,unknown,0,0
A_C0020,A_U0011,2025-11-11 20:10:00,2025-11-12 01:39:00,329,1,product_page,one_time,P0005,retro_consoles,caseover_projector,unknown,0,1
A_C0021,A_U0167,2025-03-21 17:53:00,2025-03-24 00:13:00,3260,1,product_page,one_time,P0010,car_accessories,unknown,unknown,0,0
A_C0022,A_U0098,2025-07-25 12:20:00,2025-07-25 13:19:00,59,1,product_page,two_times,P0009,car_accessories,unknown,unknown,1,0
A_C0023,A_U0029,2025-04-11 21:36:00,2025-04-12 21:12:00,1416,0,product_page,lead,P0012,car_accessories,unknown,unknown,0,0
A_C0024,A_U0099,2025-08-21 19:34:00,2025-08-23 05:26:00,2032,0,product_page,vip,P0006,retro_consoles,caseover_projector,unknown,0,0
A_C0025,A_U0031,2025-12-28 21:09:00,2025-12-31 00:17:00,3068,0,product_page,one_time,P0020,kits_and_bundles,unknown,unknown,1,1
A_C0026,A_U0337,2025-12-18 20:54:00,2025-12-18 21:25:00,31,1,general_contact,two_times,unknown,unknown,unknown,unknown,0,1
A_C0027,A_U0136,2025-06-20 15:43:00,2025-06-20 16:05:00,22,1,product_page,two_times,P0016,cameras_and_accessories,unknown,unknown,0,0
A_C0028,A_U0200,2025-12-01 10:18:00,2025-12-01 15:51:00,333,1,general_contact,lead,unknown,unknown,unknown,unknown,1,1
A_C0029,A_U0158,2025-09-08 18:55:00,2025-09-09 05:53:00,658,1,general_contact,one_time,P0047,other_accessories,phone_cases,personalized_cases,0,1
A_C0030,A_U0175,2025-11-09 20:50:00,2025-11-09 23:34:00,164,1,general_contact,two_times,P0014,cameras_and_accessories,unknown,unknown,0,1
A_C0031,A_U0200,2025-08-12 13:01:00,2025-08-12 16:04:00,183,1,product_page,vip,P0016,cameras_and_accessories,unknown,unknown,0,0
A_C0032,A_U0002,2025-12-17 17:19:00,2025-12-21 04:09:00,4970,0,product_page,vip,P0045,other_accessories,phone_cases,personalized_cases,0,1
A_C0033,A_U0289,2025-09-24 10:34:00,2025-09-24 13:05:00,151,1,product_page,lead,P0015,cameras_and_accessories,unknown,unknown,0,1
A_C0034,A_U0118,2025-01-16 15:15:00,2025-01-18 18:42:00,3087,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0
A_C0035,A_U0109,2025-11-09 08:41:00,2025-11-09 10:20:00,99,0,product_page,two_times,P0028,other_accessories,airpods_cases,unknown,0,1
A_C0036,A_U0043,2025-04-28 21:43:00,2025-04-29 12:35:00,892,0,product_page,vip,P0017,kits_and_bundles,unknown,unknown,1,0
A_C0037,A_U0148,2025-02-07 13:20:00,2025-02-10 06:03:00,3883,0,product_page,lead,P0002,retro_consoles,caseover_console,unknown,0,0
A_C0038,A_U0083,2025-05-04 19:05:00,2025-05-04 19:27:00,22,0,general_contact,lead,unknown,unknown,unknown,unknown,0,0
A_C0039,A_U0048,2025-07-12 18:59:00,2025-07-12 22:12:00,193,0,general_contact,two_times,P0021,earphones,unknown,unknown,0,0
A_C0040,A_U0207,2025-04-14 09:09:00,2025-04-15 05:30:00,1221,0,product_page,vip,P0049,other_accessories,phone_cases,cars,0,0
A_C0041,A_U0140,2025-09-01 08:08:00,2025-09-01 09:16:00,68,1,general_contact,two_times,P0015,cameras_and_accessories,unknown,unknown,1,1
A_C0042,A_U0254,2025-10-15 21:05:00,2025-10-19 16:46:00,5501,0,general_contact,lead,P0013,cameras_and_accessories,unknown,unknown,0,0
A_C0043,A_U0003,2025-11-07 08:58:00,2025-11-07 10:23:00,85,1,product_page,vip,P0028,other_accessories,airpods_cases,unknown,0,1
A_C0044,A_U0183,2025-09-12 17:38:00,2025-09-12 19:54:00,136,1,product_page,two_times,P0005,retro_consoles,caseover_projector,unknown,0,1
A_C0045,A_U0238,2025-07-18 13:08:00,2025-07-18 23:11:00,603,1,general_contact,vip,unknown,unknown,unknown,unknown,0,0
A_C0046,A_U0352,2025-12-01 08:52:00,2025-12-01 19:26:00,634,0,general_contact,vip,unknown,unknown,unknown,unknown,1,1
A_C0047,A_U0195,2025-11-11 17:28:00,2025-11-11 20:43:00,195,1,product_page,one_time,P0014,cameras_and_accessories,unknown,unknown,0,1
A_C0048,A_U0162,2025-01-14 15:36:00,2025-01-15 11:45:00,1209,0,general_contact,lead,P0024,earphones,unknown,unknown,0,0
A_C0049,A_U0301,2025-08-16 21:24:00,2025-08-16 23:46:00,142,1,general_contact,lead,unknown,unknown,unknown,unknown,0,0
A_C0050,A_U0291,2025-07-04 15:22:00,2025-07-05 10:08:00,1126,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0
A_C0051,A_U0313,2025-10-15 11:17:00,2025-10-16 06:48:00,1171,0,product_page,lead,P0021,earphones,unknown,unknown,0,0
A_C0052,A_U0229,2025-06-15 09:11:00,2025-06-15 21:05:00,714,0,general_contact,lead,P0005,retro_consoles,caseover_projector,unknown,0,0
A_C0053,A_U0312,2025-01-01 22:54:00,2025-01-01 22:59:00,5,0,product_page,lead,P0009,car_accessories,unknown,unknown,1,0
A_C0054,A_U0352,2025-07-24 20:54:00,2025-07-25 00:51:00,237,1,product_page,one_time,P0023,earphones,unknown,unknown,0,0
A_C0055,A_U0212,2025-08-16 20:21:00,2025-08-17 04:25:00,484,0,general_contact,vip,unknown,unknown,unknown,unknown,0,0
A_C0056,A_U0264,2025-03-24 17:55:00,2025-03-24 19:04:00,69,1,general_contact,lead,unknown,unknown,unknown,unknown,0,0
A_C0057,A_U0163,2025-12-01 16:02:00,2025-12-03 08:45:00,2443,0,product_page,two_times,P0051,other_accessories,phone_cases,cars,1,1
A_C0058,A_U0238,2025-11-05 14:42:00,2025-11-05 16:38:00,116,0,general_contact,lead,unknown,unknown,unknown,unknown,0,1
A_C0059,A_U0213,2025-11-27 08:13:00,2025-11-27 09:31:00,78,1,product_page,one_time,P0015,cameras_and_accessories,unknown,unknown,1,1
A_C0060,A_U0232,2025-06-17 13:43:00,2025-06-17 16:56:00,193,0,general_contact,one_time,P0001,retro_consoles,caseover_console,unknown,0,0
A_C0061,A_U0132,2025-03-21 11:17:00,2025-03-24 03:29:00,3852,1,general_contact,lead,P0010,car_accessories,unknown,unknown,0,0
A_C0062,A_U0021,2025-10-17 18:50:00,2025-10-18 00:22:00,332,1,general_contact,vip,unknown,unknown,unknown,unknown,0,0
A_C0063,A_U0024,2025-08-17 20:23:00,2025-08-18 05:24:00,541,0,general_contact,lead,P0049,other_accessories,phone_cases,cars,0,0
A_C0064,A_U0093,2025-09-26 22:00:00,2025-09-27 03:32:00,332,1,general_contact,vip,unknown,unknown,unknown,unknown,1,1
A_C0065,A_U0221,2025-03-18 09:54:00,2025-03-18 10:12:00,18,0,product_page,lead,P0031,other_accessories,protection_accessories,unknown,0,0
