purchase_id,customer_id,purchase_datetime,product_id,product_category,product_subcategory,product_collection,purchase_value,related_contact_id
A_P0001,A_U0266,2025-11-19 03:06:00,P0002,retro_consoles,caseover_console,unknown,124.78,A_C0001
A_P0002,A_U0148,2025-12-23 07:18:00,P0007,retro_consoles,caseover_projector,unknown,120.27,A_C0002
A_P0003,A_U0298,2025-08-07 08:11:00,P0014,cameras_and_accessories,unknown,unknown,50.54,A_C0005
A_P0004,A_U0168,2025-08-28 23:22:00,P0043,other_accessories,phone_cases,football,20.63,A_C0007
A_P0005,A_U0290,2025-08-24 01:26:00,P0053,other_accessories,phone_cases,men,15.31,A_C0009
A_P0006,A_U0023,2025-07-18 12:02:00,P0016,cameras_and_accessories,unknown,unknown,38.97,A_C0011
A_P0007,A_U0221,2025-08-10 12:07:00,P0042,other_accessories,phone_cases,football,24.62,A_C0012
A_P0008,A_U0348,2025-11-25 16:34:00,P0016,cameras_and_accessories,unknown,unknown,61.8,A_C0014
A_P0009,A_U0356,2025-11-03 00:40:00,P0001,retro_consoles,caseover_console,unknown,193.43,A_C0016
A_P0010,A_U0054,2025-10-15 06:18:00,P0034,other_accessories,chargers_and_others,unknown,18.56,A_C0017
A_P0011,A_U0204,2025-07-20 10:40:00,P0003,retro_consoles,caseover_console,unknown,117.6,A_C0018
A_P0012,A_U0011,2025-11-14 05:16:00,P0005,retro_consoles,caseover_projector,unknown,135.36,A_C0020
A_P0013,A_U0167,2025-03-24 01:45:00,P0009,car_accessories,unknown,unknown,37.06,A_C0021
A_P0014,A_U0098,2025-07-28 03:30:00,P0009,car_accessories,unknown,unknown,40.1,A_C0022
A_P0015,A_U0337,2025-12-19 15:43:00,P0032,other_accessories,protection_accessories,unknown,28.74,A_C0026
A_P0016,A_U0136,2025-06-22 13:15:00,P0016,cameras_and_accessories,unknown,unknown,45.29,A_C0027
A_P0017,A_U0200,2025-12-03 13:35:00,P0008,retro_consoles,caseover_projector,unknown,146.1,A_C0028
A_P0018,A_U0158,2025-09-10 17:40:00,P0017,kits_and_bundles,unknown,unknown,40.6,A_C0029
A_P0019,A_U0175,2025-11-10 23:19:00,P0011,car_accessories,unknown,unknown,35.53,A_C0030
A_P0020,A_U0200,2025-08-12 15:08:00,P0016,cameras_and_accessories,unknown,unknown,70.06,A_C0031
A_P0021,A_U0289,2025-09-27 00:24:00,P0015,cameras_and_accessories,unknown,unknown,52.91,A_C0033
A_P0022,A_U0140,2025-09-01 11:24:00,P0048,other_accessories,phone_cases,personalized_cases,25.66,A_C0041
A_P0023,A_U0003,2025-11-09 08:18:00,P0054,other_accessories,phone_cases,men,28.92,A_C0043
A_P0024,A_U0183,2025-09-15 14:30:00,P0005,retro_consoles,caseover_projector,unknown,130.61,A_C0044
A_P0025,A_U0238,2025-07-18 18:18:00,P0042,other_accessories,phone_cases,football,34.48,A_C0045
A_P0026,A_U0195,2025-11-12 05:21:00,P0014,cameras_and_accessories,unknown,unknown,62.59,A_C0047
A_P0027,A_U0301,2025-08-19 08:56:00,P0009,car_accessories,unknown,unknown,34.55,A_C0049
A_P0028,A_U0352,2025-07-26 20:52:00,P0023,earphones,unknown,unknown,32.82,A_C0054
A_P0029,A_U0264,2025-03-26 06:02:00,P0008,retro_consoles,caseover_projector,unknown,102.8,A_C0056
A_P0030,A_U0213,2025-11-29 09:15:00,P0015,cameras_and_accessories,unknown,unknown,50.29,A_C0059
A_P0031,A_U0132,2025-03-23 22:25:00,P0033,other_accessories,chargers_and_others,unknown,22.15,A_C0061
A_P0032,A_U0021,2025-10-17 22:30:00,P0034,other_accessories,chargers_and_others,unknown,18.06,A_C0062
A_P0033,A_U0093,2025-09-27 18:13:00,P0018,kits_and_bundles,unknown,unknown,67.95,A_C0064
A_P0034,A_U0227,2025-08-20 03:26:00,P0036,other_accessories,chargers_and_others,unknown,21.1,A_C0071
A_P0035,A_U0018,2025-09-14 00:48:00,P0016,cameras_and_accessories,unknown,unknown,64.03,A_C0072
A_P0036,A_U0253,2025-03-27 21:10:00,P0024,earphones,unknown,unknown,58.63,A_C0074
