purchase_id,customer_id,purchase_datetime,product_id,product_category,product_subcategory,product_collection,purchase_value,related_contact_id
B_P00001,B_U1377,2025-10-22 18:26:00,unknown,unknown,unknown,unknown,93.75,B_C00002
B_P00002,B_U1841,2025-09-03 09:21:00,P0045,other_accessories,phone_cases,personalized_cases,33.81,B_C00004
B_P00003,B_U0860,2025-05-24 01:44:00,P0007,retro_consoles,caseover_projector,unknown,171.95,B_C00006
B_P00004,B_U0532,2025-08-31 05:10:00,unknown,unknown,unknown,unknown,18.95,B_C00010
B_P00005,B_U0894,2025-12-18 20:46:00,P0009,car_accessories,unknown,unknown,28.5,B_C00013
B_P00006,B_U0048,2025-06-03 13:15:00,unknown,unknown,unknown,unknown,74.46,B_C00015
B_P00007,B_U0159,2025-12-21 14:30:00,P0026,other_accessories,airpods_cases,unknown,16.1,B_C00017
B_P00008,B_U1802,2025-07-27 22:26:00,P0053,other_accessories,phone_cases,men,14.76,B_C00018
B_P00009,B_U0116,2025-09-30 16:18:00,P0016,cameras_and_accessories,unknown,unknown,98.38,B_C00022
B_P00010,B_U1235,2025-03-19 23:14:00,P0055,other_accessories,phone_cases,men,27.5,B_C00025
B_P00011,B_U0101,2025-10-10 02:54:00,P0021,earphones,unknown,unknown,40.31,B_C00028
B_P00012,B_U2672,2025-01-07 14:05:00,P0007,retro_consoles,caseover_projector,unknown,111.86,B_C00031
B_P00013,B_U2175,2025-03-19 17:27:00,P0014,cameras_and_accessories,unknown,unknown,85.94,B_C00033
B_P00014,B_U1389,2025-07-04 13:08:00,P0043,other_accessories,phone_cases,football,17.74,B_C00036
B_P00015,B_U2193,2025-08-26 04:38:00,P0041,other_accessories,phone_cases,football,19.97,B_C00037
B_P00016,B_U1147,2025-05-05 05:56:00,P0023,earphones,unknown,unknown,19.91,B_C00041
B_P00017,B_U1763,2025-03-06 11:55:00,unknown,unknown,unknown,unknown,25.5,B_C00044
B_P00018,B_U2398,2025-02-21 11:15:00,P0012,car_accessories,unknown,unknown,42.05,B_C00049
B_P00019,B_U1927,2025-04-08 16:23:00,P0050,other_accessories,phone_cases,cars,14.14,B_C00053
B_P00020,B_U1531,2025-12-16 01:33:00,P0012,car_accessories,unknown,unknown,30.34,B_C00055
B_P00021,B_U0119,2025-06-28 13:51:00,P0014,cameras_and_accessories,unknown,unknown,75.44,B_C00058
B_P00022,B_U2129,2025-10-09 02:06:00,P0043,other_accessories,phone_cases,football,28.64,B_C00059
B_P00023,B_U1405,2025-07-21 01:57:00,P0011,car_accessories,unknown,unknown,36.66,B_C00061
B_P00024,B_U2654,2025-04-20 02:38:00,P0023,earphones,unknown,unknown,40.94,B_C00062
B_P00025,B_U1835,2025-04-25 03:00:00,P0022,earphones,unknown,unknown,58.92,B_C00069
B_P00026,B_U0930,2025-06-25 12:18:00,P0019,kits_and_bundles,unknown,unknown,103.5,B_C00070
B_P00027,B_U1608,2025-03-10 01:56:00,P0012,car_accessories,unknown,unknown,40.32,B_C00072
B_P00028,B_U0764,2025-10-07 14:06:00,P0021,earphones,unknown,unknown,40.52,B_C00078
B_P00029,B_U0731,2025-01-12 02:22:00,unknown,unknown,unknown,unknown,26.01,B_C00079
B_P00030,B_U2722,2025-08-30 20:05:00,P0047,other_accessories,phone_cases,personalized_cases,11.83,B_C00082
B_P00031,B_U2611,2025-08-09 02:27:00,P0002,retro_consoles,caseover_console,unknown,133.81,B_C00084
B_P00032,B_U1947,2025-03-02 12:34:00,P0021,earphones,unknown,unknown,62.81,B_C00088
B_P00033,B_U2631,2025-06-04 08:03:00,P0016,cameras_and_accessories,unknown,unknown,94.43,B_C00090
B_P00034,B_U1697,2025-06-04 14:39:00,P0007,retro_consoles,caseover_projector,unknown,120.01,B_C00091
B_P00035,B_U1589,2025-06-25 22:09:00,P0016,cameras_and_accessories,unknown,unknown,69.84,B_C00092
B_P00036,B_U1646,2025-05-25 08:02:00,unknown,unknown,unknown,unknown,28.34,B_C00099
B_P00037,B_U2012,2025-02-26 02:28:00,P0001,retro_consoles,caseover_console,unknown,164.0,B_C00104
B_P00038,B_U2090,2025-07-13 14:07:00,P0037,other_accessories,phone_cases,all_phone_cases,22.9,B_C00105
B_P00039,B_U0221,2025-03-25 11:06:00,P0001,retro_consoles,caseover_console,unknown,116.78,B_C00110
B_P00040,B_U0794,2025-02-26 13:58:00,unknown,unknown,unknown,unknown,90.45,B_C00111
B_P00041,B_U1290,2025-11-17 15:39:00,P0045,other_accessories,phone_cases,personalized_cases,31.34,B_C00114
B_P00042,B_U0126,2025-04-12 00:47:00,P0008,retro_consoles,caseover_projector,unknown,129.86,B_C00120
B_P00043,B_U0324,2025-05-06 03:27:00,P0017,kits_and_bundles,unknown,unknown,76.18,B_C00125
B_P00044,B_U1621,2025-01-26 18:19:00,P0024,earphones,unknown,unknown,26.8,B_C00130
B_P00045,B_U0004,2025-10-17 19:53:00,P0001,retro_consoles,caseover_console,unknown,176.05,B_C00131
B_P00046,B_U1905,2025-06-15 00:48:00,P0024,earphones,unknown,unknown,45.63,B_C00132
B_P00047,B_U0426,2025-10-05 18:20:00,P0019,kits_and_bundles,unknown,unknown,95.83,B_C00133
B_P00048,B_U1593,2025-10-05 19:14:00,P0028,other_accessories,airpods_cases,unknown,33.38,B_C00136
B_P00049,B_U1244,2025-08-28 08:12:00,P0010,car_accessories,unknown,unknown,18.33,B_C00137
B_P00050,B_U1559,2025-02-19 21:17:00,P0046,other_accessories,phone_cases,personalized_cases,20.46,B_C00143
B_P00051,B_U0948,2025-02-25 08:26:00,P0008,retro_consoles,caseover_projector,unknown,148.75,B_C00144
B_P00052,B_U2557,2025-05-20 15:09:00,unknown,unknown,unknown,unknown,63.36,B_C00145
B_P00053,B_U1957,2025-05-28 06:54:00,P0009,car_accessories,unknown,unknown,24.25,B_C00153
B_P00054,B_U2194,2025-10-02 08:59:00,P0007,retro_consoles,caseover_projector,unknown,137.6,B_C00159
B_P00055,B_U1227,2025-06-18 13:21:00,unknown,unknown,unknown,unknown,25.04,B_C00160
