purchase_id,customer_id,purchase_datetime,product_id,product_category,product_subcategory,product_collection,purchase_value,related_contact_id
C_P0001,C_U0178,2025-12-14 01:31:00,P0010,car_accessories,unknown,unknown,28.34,C_C0002
C_P0002,C_U0214,2025-07-26 19:37:00,P0007,retro_consoles,caseover_projector,unknown,110.42,C_C0004
C_P0003,C_U0053,2025-12-18 14:07:00,P0048,other_accessories,phone_cases,personalized_cases,24.61,C_C0006
C_P0004,C_U0023,2025-07-07 11:56:00,P0023,earphones,unknown,unknown,31.21,C_C0009
C_P0005,C_U0198,2025-08-31 03:05:00,P0011,car_accessories,unknown,unknown,34.66,C_C0010
C_P0006,C_U0275,2025-11-24 16:23:00,P0023,earphones,unknown,unknown,42.54,C_C0012
C_P0007,C_U0040,2025-11-14 01:19:00,P0014,cameras_and_accessories,unknown,unknown,82.91,C_C0013
C_P0008,C_U0001,2025-10-11 18:29:00,P0047,other_accessories,phone_cases,personalized_cases,20.7,C_C0017
C_P0009,C_U0298,2025-04-27 14:18:00,P0020,kits_and_bundles,unknown,unknown,54.59,C_C0018
C_P0010,C_U0024,2025-08-02 20:23:00,P0042,other_accessories,phone_cases,football,28.83,C_C0019
C_P0011,C_U0084,2025-04-13 22:05:00,P0060,other_accessories,phone_cases,women,25.44,C_C0024
C_P0012,C_U0064,2025-03-14 23:32:00,P0016,cameras_and_accessories,unknown,unknown,41.14,C_C0032
C_P0013,C_U0254,2025-01-27 07:29:00,P0006,retro_consoles,caseover_projector,unknown,128.46,C_C0033
C_P0014,C_U0339,2025-12-13 10:53:00,P0011,car_accessories,unknown,unknown,47.49,C_C0036
C_P0015,C_U0234,2025-12-14 13:17:00,P0011,car_accessories,unknown,unknown,39.57,C_C0037
C_P0016,C_U0255,2025-11-27 10:47:00,P0022,earphones,unknown,unknown,42.57,C_C0039
C_P0017,C_U0336,2025-11-27 22:10:00,P0013,cameras_and_accessories,unknown,unknown,88.79,C_C0040
C_P0018,C_U0200,2025-07-15 06:35:00,P0014,cameras_and_accessories,unknown,unknown,59.86,C_C0045
C_P0019,C_U0235,2025-06-04 02:30:00,P0027,other_accessories,airpods_cases,unknown,14.6,C_C0049
C_P0020,C_U0222,2025-01-23 07:04:00,P0023,earphones,unknown,unknown,27.17,C_C0050
C_P0021,C_U0159,2025-11-11 17:30:00,P0018,kits_and_bundles,unknown,unknown,54.76,C_C0051
C_P0022,C_U0017,2025-12-29 16:45:00,P0017,kits_and_bundles,unknown,unknown,53.11,C_C0053
C_P0023,C_U0105,2025-11-21 02:56:00,P0007,retro_consoles,caseover_projector,unknown,158.08,C_C0054
C_P0024,C_U0221,2025-02-17 06:51:00,P0033,other_accessories,chargers_and_others,unknown,26.05,C_C0062
C_P0025,C_U0064,2025-04-07 05:00:00,P0007,retro_consoles,caseover_projector,unknown,108.25,C_C0070
C_P0026,C_U0235,2025-01-26 22:48:00,P0015,cameras_and_accessories,unknown,unknown,56.81,C_C0073
C_P0027,C_U0046,2025-07-24 12:42:00,P0017,kits_and_bundles,unknown,unknown,35.25,C_C0075
C_P0028,C_U0350,2025-09-25 09:41:00,P0037,other_accessories,phone_cases,all_phone_cases,26.74,C_C0076
C_P0029,C_U0272,2025-12-13 16:58:00,P0020,kits_and_bundles,unknown,unknown,71.65,C_C0077
C_P0030,C_U0325,2025-11-07 05:11:00,P0059,other_accessories,phone_cases,women,29.42,C_C0078
C_P0031,C_U0338,2025-11-15 05:19:00,P0005,retro_consoles,caseover_projector,unknown,129.7,C_C0081
C_P0032,C_U0319,2025-10-15 19:43:00,P0018,kits_and_bundles,unknown,unknown,49.74,C_C0082
C_P0033,C_U0227,2025-11-04 12:46:00,P0023,earphones,unknown,unknown,49.2,C_C0088
C_P0034,C_U0280,2025-11-28 03:39:00,P0015,cameras_and_accessories,unknown,unknown,91.82,C_C0090
C_P0035,C_U0289,2025-02-18 02:41:00,P0044,other_accessories,phone_cases,football,19.28,C_C0092
C_P0036,C_U0139,2025-08-04 01:11:00,P0037,other_accessories,phone_cases,all_phone_cases,26.54,C_C0095
C_P0037,C_U0337,2025-10-05 06:48:00,P0031,other_accessories,protection_accessories,unknown,30.79,C_C0100
C_P0038,C_U0265,2025-12-17 08:35:00,P0052,other_accessories,phone_cases,cars,14.65,C_C0102
C_P0039,C_U0159,2025-07-11 17:36:00,P0054,other_accessories,phone_cases,men,18.89,C_C0107
C_P0040,C_U0264,2025-11-22 22:40:00,P0024,earphones,unknown,unknown,56.31,C_C0108
C_P0041,C_U0174,2025-12-05 03:36:00,P0002,retro_consoles,caseover_console,unknown,173.94,C_C0111
C_P0042,C_U0336,2025-01-27 06:15:00,P0051,other_accessories,phone_cases,cars,26.84,C_C0113
