purchase_id,customer_id,purchase_datetime,product_id,product_category,product_subcategory,product_collection,purchase_value,related_contact_id
A_P00001,A_U2620,2025-02-25 19:05:00,unknown,unknown,unknown,unknown,33.61,A_C00001
A_P00002,A_U1482,2025-07-25 12:30:00,unknown,unknown,unknown,unknown,28.01,A_C00005
A_P00003,A_U0272,2025-04-01 12:48:00,P0023,earphones,unknown,unknown,29.59,A_C00008
A_P00004,A_U2300,2025-07-25 00:22:00,P0019,kits_and_bundles,unknown,unknown,143.19,A_C00009
A_P00005,A_U0627,2025-08-26 21:12:00,P0011,car_accessories,unknown,unknown,43.17,A_C00010
A_P00006,A_U1079,2025-12-26 11:01:00,P0022,earphones,unknown,unknown,43.35,A_C00012
A_P00007,A_U0323,2025-02-19 06:34:00,P0020,kits_and_bundles,unknown,unknown,151.97,A_C00014
A_P00008,A_U2209,2025-10-25 10:28:00,unknown,unknown,unknown,unknown,16.68,A_C00015
A_P00009,A_U1141,2025-09-10 04:37:00,P0016,cameras_and_accessories,unknown,unknown,69.8,A_C00017
A_P00010,A_U1684,2025-06-25 12:50:00,P0035,other_accessories,chargers_and_others,unknown,13.14,A_C00018
A_P00011,A_U1838,2025-02-06 15:15:00,P0020,kits_and_bundles,unknown,unknown,152.36,A_C00019
A_P00012,A_U1864,2025-04-24 08:09:00,P0010,car_accessories,unknown,unknown,45.68,A_C00021
A_P00013,A_U1069,2025-03-24 03:55:00,P0051,other_accessories,phone_cases,cars,9.98,A_C00024
A_P00014,A_U2506,2025-12-27 09:45:00,P0052,other_accessories,phone_cases,cars,32.02,A_C00026
A_P00015,A_U0209,2025-02-17 06:25:00,P0008,retro_consoles,caseover_projector,unknown,142.68,A_C00028
A_P00016,A_U0459,2025-01-31 20:56:00,P0017,kits_and_bundles,unknown,unknown,146.41,A_C00029
A_P00017,A_U0164,2025-11-09 04:01:00,P0057,other_accessories,phone_cases,women,31.34,A_C00030
A_P00018,A_U0443,2025-05-03 23:36:00,P0043,other_accessories,phone_cases,football,18.76,A_C00032
A_P00019,A_U1286,2025-08-07 04:43:00,P0012,car_accessories,unknown,unknown,42.6,A_C00036
A_P00020,A_U0299,2025-06-30 08:45:00,P0023,earphones,unknown,unknown,54.59,A_C00040
A_P00021,A_U0897,2025-04-02 14:48:00,unknown,unknown,unknown,unknown,91.0,A_C00041
A_P00022,A_U2612,2025-04-26 04:40:00,P0011,car_accessories,unknown,unknown,23.12,A_C00043
A_P00023,A_U0948,2025-05-05 21:44:00,P0009,car_accessories,unknown,unknown,49.7,A_C00044
A_P00024,A_U2188,2025-01-15 15:23:00,P0009,car_accessories,unknown,unknown,25.83,A_C00047
