purchase_id,customer_id,purchase_datetime,product_id,product_category,product_subcategory,product_collection,purchase_value,related_contact_id
C_P00001,C_U2609,2025-05-14 06:49:00,P0015,cameras_and_accessories,unknown,unknown,89.03,C_C00003
C_P00002,C_U0375,2025-10-02 08:15:00,P0019,kits_and_bundles,unknown,unknown,120.1,C_C00004
C_P00003,C_U1396,2025-09-06 16:05:00,P0048,other_accessories,phone_cases,personalized_cases,17.23,C_C00007
C_P00004,C_U1149,2025-12-27 09:10:00,P0015,cameras_and_accessories,unknown,unknown,108.53,C_C00009
C_P00005,C_U1951,2025-09-15 09:11:00,P0038,other_accessories,phone_cases,all_phone_cases,24.96,C_C00010
C_P00006,C_U0345,2025-12-19 09:42:00,P0028,other_accessories,airpods_cases,unknown,33.94,C_C00011
C_P00007,C_U2333,2025-12-30 02:01:00,P0054,other_accessories,phone_cases,men,23.67,C_C00012
C_P00008,C_U1017,2025-09-25 11:43:00,P0021,earphones,unknown,unknown,57.46,C_C00019
C_P00009,C_U0221,2025-06-02 17:29:00,unknown,unknown,unknown,unknown,15.0,C_C00021
C_P00010,C_U0783,2025-02-04 00:20:00,P0021,earphones,unknown,unknown,61.02,C_C00025
C_P00011,C_U2617,2025-06-09 15:49:00,P0056,other_accessories,phone_cases,men,9.13,C_C00026
C_P00012,C_U2168,2025-07-15 23:42:00,P0007,retro_consoles,caseover_projector,unknown,120.6,C_C00037
C_P00013,C_U1052,2025-09-08 20:38:00,P0048,other_accessories,phone_cases,personalized_cases,13.64,C_C00038
C_P00014,C_U1503,2025-12-08 16:54:00,unknown,unknown,unknown,unknown,63.27,C_C00039
C_P00015,C_U0952,2025-03-29 09:51:00,P0013,cameras_and_accessories,unknown,unknown,72.48,C_C00040
C_P00016,C_U1875,2025-06-07 11:30:00,P0008,retro_consoles,caseover_projector,unknown,162.23,C_C00041
C_P00017,C_U0861,2025-10-26 14:25:00,P0008,retro_consoles,caseover_projector,unknown,151.62,C_C00043
C_P00018,C_U1582,2025-12-15 00:17:00,P0039,other_accessories,phone_cases,all_phone_cases,24.25,C_C00047
C_P00019,C_U2533,2025-11-26 12:55:00,P0009,car_accessories,unknown,unknown,50.96,C_C00048
C_P00020,C_U1002,2025-07-19 22:04:00,P0019,kits_and_bundles,unknown,unknown,88.66,C_C00050
C_P00021,C_U0445,2025-08-29 23:53:00,P0013,cameras_and_accessories,unknown,unknown,65.54,C_C00052
C_P00022,C_U2490,2025-10-07 22:51:00,P0023,earphones,unknown,unknown,63.85,C_C00057
C_P00023,C_U2329,2025-12-01 19:22:00,P0004,retro_consoles,caseover_console,unknown,103.69,C_C00058
C_P00024,C_U2583,2025-10-06 07:17:00,P0047,other_accessories,phone_cases,personalized_cases,30.18,C_C00063
C_P00025,C_U2624,2025-12-02 04:49:00,unknown,unknown,unknown,unknown,19.72,C_C00071
C_P00026,C_U0204,2025-11-18 00:55:00,P0024,earphones,unknown,unknown,62.5,C_C00075
C_P00027,C_U1616,2025-09-08 23:31:00,P0034,other_accessories,chargers_and_others,unknown,17.14,C_C00081
C_P00028,C_U2029,2025-12-03 09:21:00,P0004,retro_consoles,caseover_console,unknown,129.93,C_C00083
C_P00029,C_U2273,2025-11-29 13:55:00,unknown,unknown,unknown,unknown,18.86,C_C00084
C_P00030,C_U0331,2025-04-12 05:26:00,P0051,other_accessories,phone_cases,cars,14.29,C_C00087
C_P00031,C_U2263,2025-12-06 10:33:00,P0045,other_accessories,phone_cases,personalized_cases,34.44,C_C00088
C_P00032,C_U0808,2025-04-23 23:55:00,unknown,unknown,unknown,unknown,68.92,C_C00090
C_P00033,C_U1290,2025-07-10 01:16:00,P0023,earphones,unknown,unknown,35.39,C_C00091
C_P00034,C_U0292,2025-03-01 08:01:00,P0021,earphones,unknown,unknown,42.08,C_C00095
C_P00035,C_U0489,2025-09-19 21:45:00,P0033,other_accessories,chargers_and_others,unknown,31.42,C_C00098
C_P00036,C_U1392,2025-09-30 14:33:00,P0004,retro_consoles,caseover_console,unknown,127.54,C_C00105
C_P00037,C_U2466,2025-03-08 22:57:00,P0025,other_accessories,airpods_cases,unknown,26.1,C_C00106
C_P00038,C_U0968,2025-01-23 06:19:00,P0005,retro_consoles,caseover_projector,unknown,148.21,C_C00108
C_P00039,C_U2386,2025-10-04 10:14:00,P0043,other_accessories,phone_cases,football,21.71,C_C00110
C_P00040,C_U1365,2025-09-30 21:52:00,P0015,cameras_and_accessories,unknown,unknown,48.03,C_C00112
C_P00041,C_U1887,2025-11-27 22:44:00,P0010,car_accessories,unknown,unknown,36.11,C_C00119
C_P00042,C_U2129,2025-12-19 01:28:00,unknown,unknown,unknown,unknown,53.56,C_C00121
C_P00043,C_U2468,2025-02-24 09:57:00,P0010,car_accessories,unknown,unknown,20.29,C_C00122
C_P00044,C_U1157,2025-12-24 12:41:00,P0001,retro_consoles,caseover_console,unknown,102.07,C_C00123
C_P00045,C_U2487,2025-02-28 03:08:00,unknown,unknown,unknown,unknown,17.72,C_C00124
C_P00046,C_U2415,2025-02-19 18:34:00,P0047,other_accessories,phone_cases,personalized_cases,24.42,C_C00125
C_P00047,C_U2671,2025-04-23 02:18:00,P0008,retro_consoles,caseover_projector,unknown,99.05,C_C00131
C_P00048,C_U0340,2025-11-12 03:21:00,P0011,car_accessories,unknown,unknown,37.41,C_C00141
C_P00049,C_U0551,2025-11-27 02:11:00,P0027,other_accessories,airpods_cases,unknown,28.25,C_C00145
C_P00050,C_U1793,2025-12-08 08:14:00,P0018,kits_and_bundles,unknown,unknown,101.95,C_C00155
C_P00051,C_U2246,2025-09-06 01:08:00,unknown,unknown,unknown,unknown,61.27,C_C00158
C_P00052,C_U1425,2025-09-29 01:35:00,P0004,retro_consoles,caseover_console,unknown,104.0,C_C00161
C_P00053,C_U2349,2025-06-08 15:19:00,P0013,cameras_and_accessories,unknown,unknown,114.7,C_C00163
C_P00054,C_U1195,2025-01-19 22:08:00,P0038,other_accessories,phone_cases,all_phone_cases,21.8,C_C00164
C_P00055,C_U2305,2025-09-30 18:08:00,unknown,unknown,unknown,unknown,33.28,C_C00168
C_P00056,C_U0296,2025-08-26 05:33:00,P0011,car_accessories,unknown,unknown,28.37,C_C00169
C_P00057,C_U1702,2025-08-30 18:35:00,P0004,retro_consoles,caseover_console,unknown,133.92,C_C00170
C_P00058,C_U2122,2025-05-13 02:43:00,P0006,retro_consoles,caseover_projector,unknown,165.55,C_C00171
C_P00059,C_U1412,2025-06-28 06:52:00,P0018,kits_and_bundles,unknown,unknown,79.67,C_C00174
C_P00060,C_U1502,2025-07-07 17:57:00,P0015,cameras_and_accessories,unknown,unknown,102.44,C_C00176
C_P00061,C_U0243,2025-11-20 23:53:00,unknown,unknown,unknown,unknown,36.58,C_C00184
C_P00062,C_U1197,2025-09-07 08:11:00,P0055,other_accessories,phone_cases,men,15.9,C_C00187
C_P00063,C_U0693,2025-09-20 13:13:00,P0008,retro_consoles,caseover_projector,unknown,119.61,C_C00188
C_P00064,C_U1102,2025-12-15 20:44:00,unknown,unknown,unknown,unknown,42.18,C_C00189
C_P00065,C_U2202,2025-03-18 20:40:00,P0018,kits_and_bundles,unknown,unknown,79.39,C_C00192
C_P00066,C_U1637,2025-11-10 13:41:00,P0036,other_accessories,chargers_and_others,unknown,28.69,C_C00195
C_P00067,C_U1113,2025-08-28 01:01:00,P0002,retro_consoles,caseover_console,unknown,151.34,C_C00196
C_P00068,C_U0985,2025-03-25 08:47:00,P0011,car_accessories,unknown,unknown,54.11,C_C00199
C_P00069,C_U0387,2025-10-01 11:54:00,P0012,car_accessories,unknown,unknown,36.12,C_C00200
C_P00070,C_U1191,2025-11-28 15:00:00,P0002,retro_consoles,caseover_console,unknown,135.93,C_C00206
