feature,importance
response_time_min,0.474209
month,0.097034
day_of_month,0.069358
hour_of_day,0.059886
day_of_week,0.050052
customer_type_lead,0.035483
customer_type_vip,0.02968
customer_type_two_times,0.022307
product_category_kits_and_bundles,0.016426
customer_type_one_time,0.014875
product_category_other_accessories,0.014557
contact_source_type_general_contact,0.013117
product_category_cameras_and_accessories,0.013003
product_category_earphones,0.012284
product_collection_unknown,0.008969
is_peak_season,0.008682
product_collection_cars,0.008447
is_payday_period,0.00834
product_subcategory_phone_cases,0.006376
contact_source_type_product_page,0.006295
product_category_unknown,0.004695
product_collection_women,0.004672
product_subcategory_protection_accessories,0.004426
product_collection_all_phone_cases,0.004203
product_subcategory_chargers_and_others,0.002995
product_subcategory_airpods_cases,0.002972
product_collection_personalized_cases,0.001936
product_subcategory_caseover_projector,0.001889
product_subcategory_caseover_console,0.001009
product_subcategory_unknown,0.00076
product_category_car_accessories,0.000711
product_category_retro_consoles,0.000351
product_collection_football,0.0
product_collection_men,0.0
fast_response_24h,0.0
