feature,coefficient,abs_coefficient
response_time_min,-0.704676,0.704676
fast_response_24h,-0.126008,0.126008
customer_type_lead,-0.097597,0.097597
product_category_kits_and_bundles,0.094831,0.094831
is_peak_season,0.093265,0.093265
product_collection_all_phone_cases,-0.089093,0.089093
customer_type_vip,0.086065,0.086065
customer_type_two_times,0.061915,0.061915
month,-0.054166,0.054166
product_category_unknown,-0.049465,0.049465
product_collection_men,0.0471,0.0471
product_subcategory_caseover_console,0.039034,0.039034
product_category_car_accessories,-0.038141,0.038141
customer_type_one_time,-0.030868,0.030868
contact_source_type_product_page,0.029774,0.029774
contact_source_type_general_contact,-0.029774,0.029774
is_payday_period,0.02451,0.02451
product_category_cameras_and_accessories,0.022701,0.022701
product_subcategory_caseover_projector,-0.019536,0.019536
hour_of_day,0.019019,0.019019
product_collection_personalized_cases,0.018363,0.018363
product_category_earphones,-0.017251,0.017251
product_subcategory_airpods_cases,-0.015504,0.015504
product_collection_football,0.013841,0.013841
day_of_week,0.013527,0.013527
product_subcategory_protection_accessories,0.012957,0.012957
product_category_retro_consoles,0.011736,0.011736
day_of_month,0.011644,0.011644
product_category_other_accessories,-0.010046,0.010046
product_subcategory_phone_cases,-0.008123,0.008123
product_collection_unknown,0.008123,0.008123
product_collection_women,-0.005773,0.005773
product_collection_cars,-0.002567,0.002567
product_subcategory_chargers_and_others,-0.002342,0.002342
product_subcategory_unknown,0.000378,0.000378
