feature,importance
response_time_min,0.313534
fast_response_24h,0.098817
day_of_month,0.091428
month,0.076267
hour_of_day,0.063765
day_of_week,0.053839
customer_type_lead,0.029994
customer_type_vip,0.026626
customer_type_two_times,0.026013
customer_type_one_time,0.024802
is_peak_season,0.023057
contact_source_type_product_page,0.015789
product_subcategory_unknown,0.015645
contact_source_type_general_contact,0.014495
is_payday_period,0.012967
product_category_unknown,0.012665
product_category_earphones,0.012549
product_category_other_accessories,0.01215
product_category_cameras_and_accessories,0.011797
product_collection_unknown,0.010893
product_subcategory_phone_cases,0.010791
product_category_retro_consoles,0.008276
product_category_car_accessories,0.005604
product_category_kits_and_bundles,0.005316
product_subcategory_caseover_projector,0.005311
product_subcategory_protection_accessories,0.003528
product_subcategory_airpods_cases,0.003506
product_collection_cars,0.003066
product_subcategory_caseover_console,0.002048
product_collection_all_phone_cases,0.001895
product_collection_personalized_cases,0.001475
product_collection_women,0.000685
product_subcategory_chargers_and_others,0.000531
product_collection_football,0.000477
product_collection_men,0.000404
