contact_id,customer_id,contact_datetime,first_response_datetime,response_time_min,converted,contact_source_type,customer_type,product_id,product_category,product_subcategory,product_collection,is_payday_period,is_peak_season,month,day_of_month,day_of_week,hour_of_day,fast_response_24h
B_C00001,B_U2269,2025-12-14 15:50:00,2025-12-15 00:58:00,548,0,product_page,two_times,P0013,cameras_and_accessories,unknown,unknown,0,1,12,14,6,15,1
B_C00002,B_U1377,2025-10-20 11:14:00,2025-10-21 00:31:00,797,1,general_contact,one_time,unknown,unknown,unknown,unknown,0,0,10,20,0,11,1
B_C00003,B_U2591,2025-05-15 20:50:00,2025-05-17 14:56:00,2526,0,general_contact,vip,P0028,other_accessories,airpods_cases,unknown,0,0,5,15,3,20,0
B_C00004,B_U1841,2025-09-01 17:28:00,2025-09-01 17:37:00,9,1,product_page,lead,P0045,other_accessories,phone_cases,personalized_cases,1,1,9,1,0,17,1
B_C00005,B_U0477,2025-09-02 12:26:00,2025-09-02 19:13:00,407,0,product_page,one_time,P0010,car_accessories,unknown,unknown,1,1,9,2,1,12,1
B_C00006,B_U0860,2025-05-23 16:48:00,2025-05-23 17:32:00,44,1,product_page,two_times,P0007,retro_consoles,caseover_projector,unknown,0,0,5,23,4,16,1
B_C00007,B_U0750,2025-02-08 15:47:00,2025-02-10 17:11:00,2964,0,general_contact,lead,P0020,kits_and_bundles,unknown,unknown,0,0,2,8,5,15,0
B_C00008,B_U0881,2025-06-02 21:05:00,2025-06-02 22:56:00,111,0,product_page,one_time,P0024,earphones,unknown,unknown,1,0,6,2,0,21,1
B_C00009,B_U0892,2025-09-21 15:47:00,2025-09-21 19:50:00,243,0,product_page,two_times,P0021,earphones,unknown,unknown,0,1,9,21,6,15,1
B_C00010,B_U0532,2025-08-29 08:14:00,2025-08-29 09:17:00,63,1,general_contact,lead,unknown,unknown,unknown,unknown,1,0,8,29,4,8,1
B_C00011,B_U1936,2025-09-20 17:59:00,2025-09-23 00:50:00,3291,0,product_page,one_time,P0009,car_accessories,unknown,unknown,0,1,9,20,5,17,0
B_C00012,B_U2375,2025-06-10 17:34:00,2025-06-14 04:39:00,4985,0,product_page,lead,P0020,kits_and_bundles,unknown,unknown,0,0,6,10,1,17,0
B_C00013,B_U0894,2025-12-18 11:15:00,2025-12-22 01:31:00,5176,1,general_contact,vip,P0009,car_accessories,unknown,unknown,0,1,12,18,3,11,0
B_C00014,B_U1696,2025-01-10 20:56:00,2025-01-12 08:51:00,2155,0,general_contact,two_times,P0020,kits_and_bundles,unknown,unknown,0,0,1,10,4,20,0
B_C00015,B_U0048,2025-05-31 17:18:00,2025-06-01 07:52:00,874,1,general_contact,vip,unknown,unknown,unknown,unknown,1,0,5,31,5,17,1
B_C00016,B_U2374,2025-09-28 13:43:00,2025-09-28 22:40:00,537,0,product_page,two_times,P0003,retro_consoles,caseover_console,unknown,1,1,9,28,6,13,1
B_C00017,B_U0159,2025-12-18 17:33:00,2025-12-19 05:40:00,727,1,product_page,lead,P0026,other_accessories,airpods_cases,unknown,0,1,12,18,3,17,1
B_C00018,B_U1802,2025-07-26 08:39:00,2025-07-29 02:51:00,3972,1,product_page,lead,P0053,other_accessories,phone_cases,men,1,0,7,26,5,8,0
B_C00019,B_U1390,2025-03-10 10:38:00,2025-03-11 23:13:00,2195,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0,3,10,0,10,0
B_C00020,B_U0637,2025-03-05 15:40:00,2025-03-05 16:54:00,74,0,product_page,one_time,P0048,other_accessories,phone_cases,personalized_cases,0,0,3,5,2,15,1
B_C00021,B_U0384,2025-01-21 12:37:00,2025-01-21 21:32:00,535,0,general_contact,lead,P0054,other_accessories,phone_cases,men,0,0,1,21,1,12,1
B_C00022,B_U0116,2025-09-28 11:54:00,2025-09-28 18:52:00,418,1,product_page,two_times,P0016,cameras_and_accessories,unknown,unknown,1,1,9,28,6,11,1
B_C00023,B_U1736,2025-11-10 12:04:00,2025-11-14 04:03:00,5279,0,general_contact,one_time,P0017,kits_and_bundles,unknown,unknown,0,1,11,10,0,12,0
B_C00024,B_U1700,2025-02-16 21:40:00,2025-02-17 07:39:00,599,0,product_page,vip,P0006,retro_consoles,caseover_projector,unknown,0,0,2,16,6,21,1
B_C00025,B_U1235,2025-03-19 15:50:00,2025-03-21 03:52:00,2162,1,product_page,lead,P0055,other_accessories,phone_cases,men,0,0,3,19,2,15,0
B_C00026,B_U2160,2025-09-05 13:37:00,2025-09-06 05:13:00,936,0,product_page,lead,P0006,retro_consoles,caseover_projector,unknown,0,1,9,5,4,13,1
B_C00027,B_U0660,2025-11-11 20:20:00,2025-11-15 17:18:00,5578,0,product_page,vip,P0013,cameras_and_accessories,unknown,unknown,0,1,11,11,1,20,0
B_C00028,B_U0101,2025-10-09 14:01:00,2025-10-09 18:23:00,262,1,product_page,two_times,P0021,earphones,unknown,unknown,0,0,10,9,3,14,1
B_C00029,B_U0059,2025-11-05 19:48:00,2025-11-05 21:41:00,113,0,general_contact,vip,P0038,other_accessories,phone_cases,all_phone_cases,0,1,11,5,2,19,1
B_C00030,B_U1358,2025-12-13 12:10:00,2025-12-17 11:28:00,5718,0,general_contact,lead,P0010,car_accessories,unknown,unknown,0,1,12,13,5,12,0
B_C00031,B_U2672,2025-01-06 18:04:00,2025-01-06 18:39:00,35,1,general_contact,lead,P0007,retro_consoles,caseover_projector,unknown,0,0,1,6,0,18,1
B_C00032,B_U0097,2025-06-15 13:05:00,2025-06-18 15:37:00,4472,0,product_page,lead,P0019,kits_and_bundles,unknown,unknown,0,0,6,15,6,13,0
B_C00033,B_U2175,2025-03-17 22:54:00,2025-03-17 23:05:00,11,1,product_page,lead,P0014,cameras_and_accessories,unknown,unknown,0,0,3,17,0,22,1
B_C00034,B_U0460,2025-09-21 18:36:00,2025-09-21 20:54:00,138,0,general_contact,two_times,unknown,unknown,unknown,unknown,0,1,9,21,6,18,1
B_C00035,B_U1209,2025-09-07 22:03:00,2025-09-07 23:07:00,64,0,product_page,vip,P0024,earphones,unknown,unknown,0,1,9,7,6,22,1
B_C00036,B_U1389,2025-07-03 15:23:00,2025-07-04 09:21:00,1078,1,product_page,lead,P0043,other_accessories,phone_cases,football,0,0,7,3,3,15,1
B_C00037,B_U2193,2025-08-24 18:51:00,2025-08-25 17:17:00,1346,1,product_page,one_time,P0041,other_accessories,phone_cases,football,0,0,8,24,6,18,1
B_C00038,B_U0803,2025-03-03 11:53:00,2025-03-04 03:22:00,929,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0,3,3,0,11,1
B_C00039,B_U2259,2025-05-22 09:10:00,2025-05-23 10:30:00,1520,0,product_page,lead,P0009,car_accessories,unknown,unknown,0,0,5,22,3,9,0
B_C00040,B_U2032,2025-12-22 17:56:00,2025-12-23 13:36:00,1180,0,product_page,lead,P0042,other_accessories,phone_cases,football,0,1,12,22,0,17,1
B_C00041,B_U1147,2025-05-03 16:43:00,2025-05-04 01:47:00,544,1,product_page,one_time,P0023,earphones,unknown,unknown,0,0,5,3,5,16,1
B_C00042,B_U1858,2025-08-17 21:17:00,2025-08-17 21:50:00,33,0,general_contact,vip,P0035,other_accessories,chargers_and_others,unknown,0,0,8,17,6,21,1
B_C00043,B_U0410,2025-09-18 18:46:00,2025-09-18 20:14:00,88,0,general_contact,one_time,P0010,car_accessories,unknown,unknown,0,1,9,18,3,18,1
B_C00044,B_U1763,2025-03-04 14:14:00,2025-03-05 06:20:00,966,1,general_contact,vip,unknown,unknown,unknown,unknown,0,0,3,4,1,14,1
B_C00045,B_U2238,2025-05-26 11:42:00,2025-05-26 12:47:00,65,0,general_contact,two_times,unknown,unknown,unknown,unknown,1,0,5,26,0,11,1
B_C00046,B_U2024,2025-11-11 20:05:00,2025-11-12 03:00:00,415,0,product_page,lead,P0007,retro_consoles,caseover_projector,unknown,0,1,11,11,1,20,1
B_C00047,B_U1096,2025-01-22 16:31:00,2025-01-23 02:01:00,570,0,product_page,two_times,P0026,other_accessories,airpods_cases,unknown,0,0,1,22,2,16,1
B_C00048,B_U0938,2025-05-21 16:43:00,2025-05-21 17:41:00,58,0,product_page,one_time,P0009,car_accessories,unknown,unknown,0,0,5,21,2,16,1
B_C00049,B_U2398,2025-02-18 18:19:00,2025-02-18 19:10:00,51,1,product_page,vip,P0012,car_accessories,unknown,unknown,0,0,2,18,1,18,1
B_C00050,B_U0766,2025-06-20 14:50:00,2025-06-22 17:59:00,3069,0,product_page,vip,P0007,retro_consoles,caseover_projector,unknown,0,0,6,20,4,14,0
B_C00051,B_U0330,2025-11-26 14:41:00,2025-11-27 01:25:00,644,0,product_page,lead,P0025,other_accessories,airpods_cases,unknown,1,1,11,26,2,14,1
B_C00052,B_U0947,2025-01-08 12:17:00,2025-01-09 06:27:00,1090,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0,1,8,2,12,1
B_C00053,B_U1927,2025-04-08 12:31:00,2025-04-10 16:41:00,3130,1,product_page,lead,P0050,other_accessories,phone_cases,cars,0,0,4,8,1,12,0
