feature,importance
response_time_min,0.278883
day_of_month,0.180802
hour_of_day,0.132654
day_of_week,0.077141
month,0.059002
product_category_retro_consoles,0.030659
product_subcategory_chargers_and_others,0.021234
customer_type_vip,0.018988
customer_type_two_times,0.018423
product_category_car_accessories,0.018311
contact_source_type_product_page,0.016067
product_category_other_accessories,0.01586
customer_type_lead,0.013691
product_category_earphones,0.011575
is_peak_season,0.011255
is_payday_period,0.011062
product_category_cameras_and_accessories,0.010546
product_subcategory_unknown,0.00927
product_collection_football,0.008222
customer_type_one_time,0.007818
product_collection_personalized_cases,0.00676
contact_source_type_general_contact,0.006516
product_category_unknown,0.006271
product_subcategory_caseover_projector,0.005697
product_collection_men,0.005581
product_collection_all_phone_cases,0.004798
product_subcategory_caseover_console,0.002897
product_subcategory_protection_accessories,0.002875
product_category_kits_and_bundles,0.002541
product_collection_unknown,0.001715
product_collection_cars,0.001682
fast_response_24h,0.001203
product_subcategory_phone_cases,0.0
product_subcategory_airpods_cases,0.0
product_collection_women,0.0
