feature,coefficient,abs_coefficient
fast_response_24h,-0.331142,0.331142
is_peak_season,0.253113,0.253113
response_time_min,-0.196056,0.196056
product_subcategory_chargers_and_others,0.175158,0.175158
product_collection_personalized_cases,-0.137211,0.137211
product_collection_football,0.129337,0.129337
customer_type_two_times,0.127054,0.127054
month,-0.119798,0.119798
product_collection_cars,0.097347,0.097347
contact_source_type_general_contact,-0.076559,0.076559
contact_source_type_product_page,0.076559,0.076559
product_subcategory_caseover_projector,-0.075822,0.075822
product_collection_men,-0.073376,0.073376
customer_type_lead,-0.072273,0.072273
product_category_retro_consoles,-0.07119,0.07119
product_subcategory_protection_accessories,-0.069746,0.069746
product_category_kits_and_bundles,-0.057926,0.057926
product_category_earphones,0.043539,0.043539
product_category_other_accessories,0.041285,0.041285
customer_type_one_time,-0.041181,0.041181
product_collection_all_phone_cases,-0.037348,0.037348
is_payday_period,-0.036165,0.036165
hour_of_day,0.033804,0.033804
product_category_cameras_and_accessories,0.026925,0.026925
day_of_week,0.026227,0.026227
product_collection_women,0.018979,0.018979
product_subcategory_caseover_console,-0.017382,0.017382
product_category_unknown,0.016431,0.016431
product_category_car_accessories,-0.014375,0.014375
product_subcategory_unknown,0.011316,0.011316
day_of_month,0.008107,0.008107
customer_type_vip,0.005393,0.005393
product_subcategory_phone_cases,-0.002807,0.002807
product_collection_unknown,0.002807,0.002807
product_subcategory_airpods_cases,0.002322,0.002322
