feature,importance
response_time_min,0.169898
hour_of_day,0.136721
day_of_month,0.130732
month,0.095332
day_of_week,0.085282
customer_type_lead,0.031563
customer_type_two_times,0.029264
fast_response_24h,0.026611
contact_source_type_product_page,0.025716
is_peak_season,0.025143
contact_source_type_general_contact,0.024256
customer_type_vip,0.020721
product_subcategory_unknown,0.019041
product_category_retro_consoles,0.017673
product_category_other_accessories,0.016899
product_category_earphones,0.016341
customer_type_one_time,0.01391
product_category_unknown,0.013294
is_payday_period,0.012923
product_category_car_accessories,0.012789
product_subcategory_chargers_and_others,0.010282
product_category_kits_and_bundles,0.010252
product_category_cameras_and_accessories,0.009924
product_subcategory_caseover_projector,0.00923
product_subcategory_phone_cases,0.007031
product_collection_unknown,0.00687
product_subcategory_caseover_console,0.006021
product_collection_football,0.004832
product_collection_men,0.002451
product_collection_personalized_cases,0.002121
product_subcategory_airpods_cases,0.002086
product_subcategory_protection_accessories,0.002021
product_collection_all_phone_cases,0.001658
product_collection_women,0.000669
product_collection_cars,0.000444
