contact_id,customer_id,contact_datetime,first_response_datetime,response_time_min,converted,contact_source_type,customer_type,product_id,product_category,product_subcategory,product_collection,is_payday_period,is_peak_season,month,day_of_month,day_of_week,hour_of_day,fast_response_24h
C_C00001,C_U0307,2025-08-27 13:11:00,2025-08-29 05:48:00,2437,0,general_contact,one_time,unknown,unknown,unknown,unknown,1,0,8,27,2,13,0
C_C00002,C_U1050,2025-06-30 13:27:00,2025-06-30 13:55:00,28,0,general_contact,one_time,P0025,other_accessories,airpods_cases,unknown,1,0,6,30,0,13,1
C_C00003,C_U2609,2025-05-13 11:41:00,2025-05-15 08:46:00,2705,1,general_contact,lead,P0015,cameras_and_accessories,unknown,unknown,0,0,5,13,1,11,0
C_C00004,C_U0375,2025-09-30 14:47:00,2025-09-30 16:56:00,129,1,general_contact,lead,P0019,kits_and_bundles,unknown,unknown,1,1,9,30,1,14,1
C_C00005,C_U0025,2025-11-28 21:15:00,2025-11-28 22:38:00,83,0,product_page,two_times,P0053,other_accessories,phone_cases,men,1,1,11,28,4,21,1
C_C00006,C_U0546,2025-07-22 15:12:00,2025-07-23 02:18:00,666,0,product_page,lead,P0024,earphones,unknown,unknown,0,0,7,22,1,15,1
C_C00007,C_U1396,2025-09-04 09:09:00,2025-09-04 10:00:00,51,1,product_page,two_times,P0048,other_accessories,phone_cases,personalized_cases,0,1,9,4,3,9,1
C_C00008,C_U0499,2025-08-08 12:11:00,2025-08-10 13:35:00,2964,0,product_page,lead,P0034,other_accessories,chargers_and_others,unknown,0,0,8,8,4,12,0
C_C00009,C_U1149,2025-12-24 21:18:00,2025-12-25 02:02:00,284,1,product_page,lead,P0015,cameras_and_accessories,unknown,unknown,0,1,12,24,2,21,1
C_C00010,C_U1951,2025-09-14 11:54:00,2025-09-14 13:13:00,79,1,product_page,vip,P0038,other_accessories,phone_cases,all_phone_cases,0,1,9,14,6,11,1
C_C00011,C_U0345,2025-12-16 16:59:00,2025-12-16 20:41:00,222,1,product_page,lead,P0028,other_accessories,airpods_cases,unknown,0,1,12,16,1,16,1
C_C00012,C_U2333,2025-12-27 13:09:00,2025-12-29 08:24:00,2595,1,product_page,lead,P0054,other_accessories,phone_cases,men,1,1,12,27,5,13,0
C_C00013,C_U0927,2025-12-24 10:50:00,2025-12-24 19:29:00,519,0,product_page,one_time,P0006,retro_consoles,caseover_projector,unknown,0,1,12,24,2,10,1
C_C00014,C_U0688,2025-06-10 10:25:00,2025-06-13 02:51:00,3866,0,product_page,vip,P0002,retro_consoles,caseover_console,unknown,0,0,6,10,1,10,0
C_C00015,C_U2707,2025-02-08 17:15:00,2025-02-09 04:20:00,665,0,product_page,lead,P0005,retro_consoles,caseover_projector,unknown,0,0,2,8,5,17,1
C_C00016,C_U0559,2025-05-22 22:22:00,2025-05-24 05:30:00,1868,0,product_page,one_time,P0023,earphones,unknown,unknown,0,0,5,22,3,22,0
C_C00017,C_U1855,2025-07-16 19:56:00,2025-07-20 04:02:00,4806,0,general_contact,vip,unknown,unknown,unknown,unknown,0,0,7,16,2,19,0
C_C00018,C_U0249,2025-02-17 10:30:00,2025-02-17 12:53:00,143,0,product_page,lead,P0027,other_accessories,airpods_cases,unknown,0,0,2,17,0,10,1
C_C00019,C_U1017,2025-09-22 12:48:00,2025-09-22 13:42:00,54,1,product_page,one_time,P0021,earphones,unknown,unknown,0,1,9,22,0,12,1
C_C00020,C_U2708,2025-10-07 11:01:00,2025-10-11 10:16:00,5715,0,product_page,one_time,P0022,earphones,unknown,unknown,0,0,10,7,1,11,0
C_C00021,C_U0221,2025-06-01 22:00:00,2025-06-01 22:40:00,40,1,general_contact,two_times,unknown,unknown,unknown,unknown,1,0,6,1,6,22,1
C_C00022,C_U2417,2025-01-26 12:15:00,2025-01-26 19:27:00,432,0,product_page,two_times,P0023,earphones,unknown,unknown,1,0,1,26,6,12,1
C_C00023,C_U1965,2025-05-10 09:22:00,2025-05-10 12:58:00,216,0,product_page,two_times,P0018,kits_and_bundles,unknown,unknown,0,0,5,10,5,9,1
C_C00024,C_U2472,2025-11-29 14:58:00,2025-11-29 18:08:00,190,0,general_contact,lead,unknown,unknown,unknown,unknown,1,1,11,29,5,14,1
C_C00025,C_U0783,2025-02-01 11:45:00,2025-02-02 11:22:00,1417,1,product_page,vip,P0021,earphones,unknown,unknown,1,0,2,1,5,11,1
C_C00026,C_U2617,2025-06-08 10:42:00,2025-06-11 00:46:00,3724,1,product_page,one_time,P0056,other_accessories,phone_cases,men,0,0,6,8,6,10,0
C_C00027,C_U0472,2025-12-14 12:36:00,2025-12-15 10:39:00,1323,0,product_page,vip,P0022,earphones,unknown,unknown,0,1,12,14,6,12,1
C_C00028,C_U0356,2025-08-18 11:10:00,2025-08-20 14:56:00,3106,0,general_contact,one_time,unknown,unknown,unknown,unknown,0,0,8,18,0,11,0
