feature,importance
is_peak_season,0.483227
response_time_min,0.150197
is_payday_period,0.065401
hour_of_day,0.053543
day_of_month,0.045454
month,0.04244
product_category_earphones,0.015875
contact_source_type_general_contact,0.014154
product_subcategory_airpods_cases,0.012239
product_category_cameras_and_accessories,0.011637
day_of_week,0.010954
product_collection_unknown,0.009895
product_subcategory_chargers_and_others,0.007168
product_subcategory_phone_cases,0.00679
product_category_car_accessories,0.006264
customer_type_lead,0.006079
customer_type_vip,0.005964
contact_source_type_product_page,0.005107
product_subcategory_caseover_projector,0.00469
product_collection_women,0.004365
product_collection_cars,0.00387
product_category_other_accessories,0.003863
customer_type_one_time,0.003729
product_collection_personalized_cases,0.003636
product_category_unknown,0.003369
customer_type_two_times,0.003155
product_subcategory_unknown,0.003002
product_category_kits_and_bundles,0.002972
product_category_retro_consoles,0.002961
product_subcategory_caseover_console,0.002615
product_collection_all_phone_cases,0.002313
product_collection_football,0.001108
product_collection_men,0.000902
fast_response_24h,0.000602
product_subcategory_protection_accessories,0.00046
