feature,importance
response_time_min,0.179485
is_peak_season,0.128793
month,0.120065
day_of_month,0.10806
hour_of_day,0.083
fast_response_24h,0.062822
day_of_week,0.062679
customer_type_lead,0.029004
is_payday_period,0.026527
product_subcategory_unknown,0.018398
customer_type_one_time,0.017405
customer_type_vip,0.016647
contact_source_type_product_page,0.016406
contact_source_type_general_contact,0.01443
product_category_cameras_and_accessories,0.014117
product_category_retro_consoles,0.010716
product_category_earphones,0.010635
product_category_car_accessories,0.010494
product_category_other_accessories,0.010465
customer_type_two_times,0.009669
product_category_kits_and_bundles,0.009337
product_collection_unknown,0.008082
product_category_unknown,0.007892
product_subcategory_phone_cases,0.005123
product_subcategory_caseover_console,0.005122
product_subcategory_caseover_projector,0.00459
product_collection_personalized_cases,0.003397
product_collection_all_phone_cases,0.001727
product_collection_men,0.001717
product_collection_football,0.001047
product_subcategory_airpods_cases,0.000795
product_collection_women,0.000662
product_subcategory_chargers_and_others,0.000546
product_subcategory_protection_accessories,0.000146
product_collection_cars,0.0
